#{"t_start": 1766678415.1025152, "env_id": "None"}
r,l,t
-131.7565,55,0.181427
-116.17699,82,0.238585
-131.96315,100,0.282923
-136.1821,124,0.334549
-124.1936,56,0.36762
-121.32382,61,0.419506
-112.42503,58,0.465828
-119.82263,72,0.527386
-123.01448,54,0.546343
-114.23378,65,0.614731
-123.07679,54,0.666654
-115.5804,51,0.730128
-142.17123,248,0.746962
-117.81516,105,0.775539
-131.82816,57,0.805816
-114.15768,42,0.840158
-122.740776,54,0.914222
-119.27339,54,0.946213
-113.68668,57,0.988003
-116.42523,50,1.061845
-118.56941,61,1.062146
-114.90456,49,1.102582
-128.38364,59,1.191265
-164.1768,186,1.19156
-118.58912,50,1.213842
-115.88139,71,1.231131
-119.75492,49,1.309729
-114.60441,53,1.349212
-114.825264,62,1.364158
-117.53211,48,1.425339
-115.709404,50,1.468269
-120.04913,57,1.499543
-127.062584,149,1.552364
-125.33007,55,1.566159
-122.300095,53,1.603142
-114.42718,51,1.62775
-118.083885,50,1.682344
-121.62881,60,1.701386
-117.00196,46,1.718512
-115.00327,56,1.76319
-121.90711,50,1.807356
-116.07249,52,1.842001
-128.57835,74,1.883212
-114.637474,51,1.89202
-125.836235,56,1.959456
-113.65858,57,2.000425
-118.816666,51,2.030044
-130.14902,75,2.082184
-121.196236,54,2.125635
-131.50728,93,2.18191
-112.61651,69,2.195026
-119.465614,60,2.227757
-120.06553,52,2.25769
-122.25655,46,2.301232
-114.553635,71,2.367222
-115.50919,57,2.397606
-120.81907,74,2.417484
-115.31788,52,2.495291
-115.61697,50,2.521155
-129.9128,75,2.591226
-115.338394,57,2.631987
-120.61157,50,2.642997
-162.34184,172,2.712804
-115.20712,53,2.755089
-114.065186,56,2.77188
-126.09588,108,2.838243
-112.997116,59,2.885677
-113.89111,57,2.899706
-121.50259,110,2.968522
-115.35334,48,3.019686
-113.71355,56,3.036964
-126.73815,57,3.111759
-121.02616,50,3.140535
-115.85517,65,3.189686
-115.500435,75,3.306551
-116.05243,65,3.33598
-117.920494,50,3.427008
-156.08327,248,3.437331
-114.54393,60,3.486861
-163.69301,173,3.528426
-113.24907,58,3.578119
-116.776695,54,3.622153
-114.91286,86,3.654816
-127.09036,60,3.681914
-117.19365,51,3.712915
-115.47137,59,3.770064
-119.89255,59,3.802982
-127.92532,61,3.83284
-113.9743,57,3.857605
-118.866356,60,3.919213
-121.10278,56,3.945959
-112.93694,57,3.996947
-115.944305,56,4.064417
-124.543396,102,4.094767
-122.16383,51,4.12937
-112.8044,104,4.203518
-119.12329,48,4.21435
-121.62484,63,4.231626
-120.231766,49,4.262256
-128.17673,61,4.365831
-121.80603,63,4.386203
-120.67598,70,4.395072
-119.12364,58,4.413132
-129.30615,59,4.518313
-114.085396,56,4.542409
-112.9944,63,4.55133
-119.09608,66,4.566775
-119.08249,53,4.669303
-115.02835,61,4.69465
-121.016716,71,4.732048
-116.97474,47,4.784116
-125.01029,125,4.824486
-118.0231,63,4.84939
-119.09402,49,4.902462
-127.69923,60,4.967685
-114.52641,53,4.979087
-128.6042,117,5.019837
-120.44712,49,5.038674
-123.108986,45,6.118336
-144.73672,101,6.226857
-122.913864,139,6.343546
-123.38818,82,6.372678
-117.23123,48,6.489393
-123.23299,76,6.588591
-119.96816,48,6.626364
-150.83995,151,6.670743
-118.71847,49,6.76588
-124.09891,63,6.777451
-120.61012,49,6.906923
-151.94394,329,6.944695
-124.92483,66,6.974638
-148.18784,135,7.058212
-121.30212,46,7.079778
-129.91278,64,7.107367
-128.26205,61,7.156713
-125.89748,55,7.253822
-119.711075,49,7.263116
-118.1965,51,7.404606
-130.94966,57,7.425954
-119.52775,47,7.537998
-152.39774,161,7.55033
-129.59872,55,7.587741
-145.8363,154,7.622088
-119.17125,48,7.69234
-119.22121,47,7.820623
-128.28076,109,7.89126
-149.50558,122,7.904582
-118.63313,51,7.960971
-120.36115,41,8.015542
-117.57254,85,8.134355
-119.24819,64,8.142752
-143.83975,231,8.253617
-117.94517,66,8.317089
-127.21739,61,8.435943
-118.85808,53,8.483358
-125.60862,183,8.538513
-155.09573,166,8.616283
-128.4368,63,8.630046
-118.66353,51,8.642513
-118.064804,51,8.795322
-127.21012,61,8.824173
-115.94507,129,8.92716
-134.84995,65,8.989027
-149.05688,123,8.999515
-127.75041,63,9.015407
-118.678856,54,9.140138
-126.925735,60,9.173606
-126.53787,56,9.281478
-125.65012,140,9.311672
-126.89622,60,9.336547
-119.18912,53,9.431136
-159.42471,189,9.494584
-120.87509,50,9.546551
-112.64511,131,9.630009
-120.48659,50,9.662079
-124.70964,72,9.662396
-129.34541,154,9.702296
-129.91968,71,9.790572
-119.67343,61,9.804136
-126.27757,60,9.842876
-120.008736,59,9.936215
-157.07635,142,9.985588
-122.44002,78,10.018876
-109.98014,110,10.054348
-119.79402,52,10.068979
-121.68537,50,10.169464
-114.3304,64,10.195605
-123.81875,83,10.216388
-123.27631,53,10.311225
-124.98104,59,10.358632
-121.68443,50,10.41899
-157.13596,187,10.434786
-125.48733,59,10.496128
-121.70026,50,10.540247
-116.52137,63,10.5785
-121.65113,50,10.650368
-125.768524,82,10.684204
-116.73634,218,10.714839
-119.46057,74,10.752935
-121.090004,50,10.778843
-121.92683,50,10.885709
-123.63056,92,10.90395
-138.29433,81,10.91386
-124.91016,82,10.952547
-121.22202,50,11.016198
-126.00123,61,11.054925
-121.8044,50,11.136519
-122.841644,103,11.161088
-127.62388,51,11.18856
-119.82966,59,11.287819
-154.6731,142,11.308404
-123.17805,101,11.403054
-122.278435,57,11.425552
-117.66257,98,11.425868
-118.94475,51,12.507588
-115.74393,71,12.542633
-122.043846,59,12.640349
-107.146416,138,12.70559
-124.30582,41,12.801298
-136.95523,244,12.835948
-144.67947,151,12.888262
-124.84778,41,12.905706
-120.90654,62,12.986653
-124.31143,41,13.006262
-126.620865,42,13.095986
-115.75486,59,13.125332
-124.177025,41,13.193993
-122.2754,69,13.286314
-124.12524,41,13.297732
-156.3254,191,13.352983
-117.02536,48,13.410258
-131.00241,46,13.41067
-126.51711,42,13.510447
-121.598595,63,13.561483
-124.540184,41,13.610493
-184.65802,417,13.64449
-126.32609,42,13.706837
-122.42687,67,13.724977
-123.94802,41,13.803211
-116.653435,47,13.832858
-120.45405,86,13.850227
-126.144135,42,13.908319
-161.3086,252,13.955384
-126.40583,42,14.008758
-125.07638,78,14.026005
-131.03479,46,14.12037
-126.416176,42,14.215013
-138.28276,108,14.279073
-126.44831,42,14.31711
-126.508644,42,14.422075
-126.51767,42,14.520423
-149.64441,254,14.561752
-139.72107,146,14.879314
-150.0346,188,14.961883
-143.10617,68,15.016212
-144.08478,69,15.099207
-141.36551,67,15.227867
-142.58559,69,15.360255
-146.50745,200,15.413078
-141.76906,68,15.541621
-142.48439,69,15.669641
-150.83995,228,15.802906
-143.02808,89,15.973329
-143.38411,69,16.107308
-126.71425,181,16.447499
-137.1967,66,16.57645
-301.3659,1862,18.053845
-119.11717,57,18.163348
-120.438194,55,18.267675
-239.86403,2000,18.318976
-134.06927,73,18.405972
-138.98962,74,18.46128
-131.40253,56,18.58514
-122.33043,51,18.710352
-123.67185,98,18.758325
-262.14352,1176,18.825705
-121.78418,49,18.834856
-130.82796,46,18.871068
-128.87186,44,18.963483
-128.88753,44,19.061959
-128.89291,44,19.155471
-123.76236,165,19.218027
-129.75171,45,19.297469
-122.21221,63,19.389779
-128.88799,44,19.416405
-120.94264,48,19.517771
-128.91321,44,19.535418
-128.88338,44,19.658121
-121.805016,66,19.709673
-236.30536,2000,19.734005
-128.87852,44,19.79617
-130.83908,46,19.92669
-122.154076,78,19.952797
-128.89317,44,20.053742
-121.283585,66,20.129764
-130.96393,46,20.180426
-132.18018,179,20.247348
-129.54225,45,20.309498
-123.64797,67,20.330075
-128.59943,44,20.445934
-119.64834,63,20.514167
-128.62305,44,20.571076
-128.73105,115,20.592535
-120.93544,49,20.654028
-128.57817,44,20.702518
-130.21428,56,20.752343
-129.66502,45,20.828371
-123.61162,68,20.85283
-131.109,57,20.914905
-129.24306,44,20.96242
-122.60134,67,21.049867
-128.84285,44,21.092351
-122.85054,75,21.138278
-128.93112,44,21.213627
-132.354,58,21.30656
-121.05193,99,21.34181
-129.75717,45,21.360306
-128.91014,44,21.483111
-129.7836,70,21.547786
-130.84267,46,21.6165
-131.58324,47,22.886337
-128.91519,154,22.898317
-142.30281,107,22.974706
-119.19198,63,23.040883
-137.31744,85,23.085935
-122.526665,80,23.210399
-138.44806,135,23.272566
-128.31273,115,23.334762
-121.332,64,23.361554
-119.10838,66,23.504942
-150.50665,116,23.589816
-121.18891,61,23.635596
-145.96616,170,23.652528
-123.557,69,23.799781
-143.17093,122,23.873352
-121.2715,66,23.945658
-139.36255,192,24.079663
-142.10098,114,24.124994
-132.72394,87,24.144376
-122.58133,65,24.282611
-134.13898,114,24.379472
-121.65305,68,24.437869
-122.612686,65,24.579847
-154.24397,228,24.595835
-136.2659,110,24.633427
-122.56447,65,24.729914
-129.91983,89,24.828807
-121.522766,68,24.882577
-121.39114,67,25.022753
-215.19801,2000,25.036298
-138.3905,99,25.05233
-147.2164,247,25.147635
-138.09535,53,25.163299
-122.93381,71,25.200425
-133.24866,95,25.271122
-120.32068,62,25.34526
-141.90338,110,25.411545
-121.5504,63,25.493282
-127.607994,95,25.503721
-145.6193,149,25.527186
-139.65942,96,25.64222
-120.67164,63,25.651349
-140.43315,85,25.729805
-120.61707,48,25.770747
-141.72151,110,25.783848
-116.08807,65,25.826883
-135.18852,76,25.922964
-134.2767,78,25.965021
-125.475716,83,26.0205
-125.2457,131,26.088274
-120.46405,61,26.153106
-143.97842,105,26.166579
-149.57037,126,26.253636
-123.10533,66,26.315212
-142.65915,110,26.352921
-143.25226,90,26.384067
-129.72775,84,26.458483
-124.57222,71,26.490923
-128.16147,63,26.598598
-144.11829,99,26.612356
-121.55056,63,26.636492
-128.88391,126,26.659552
-132.2915,69,26.771213
-120.7675,62,26.786255
-140.61969,92,26.844823
-135.40027,111,26.923062
-120.78836,62,26.942929
-120.87675,65,27.083675
-143.3855,116,27.181917
-160.75465,163,27.217538
-123.96631,65,27.239732
-121.19075,61,27.373202
-150.21089,104,27.458894
-140.1624,117,27.459177
-122.98166,66,27.528938
-154.7483,392,28.629849
-117.893425,117,28.669646
-126.96678,114,28.728153
-119.26742,49,28.743901
-119.66991,50,28.846462
-112.91092,85,28.860225
-131.55072,66,28.882161
-119.44895,48,28.965659
-125.48881,37,28.975329
-130.7301,74,29.041266
-117.81131,49,29.084064
-116.36051,85,29.161272
-118.78102,48,29.190781
-134.68486,76,29.213912
-116.97019,47,29.302162
-118.61454,102,29.407324
-118.08177,48,29.421632
-134.55186,87,29.430581
-125.9315,75,29.595832
-137.04544,91,29.635391
-120.4929,102,29.653144
-116.38421,42,29.697027
-117.57917,50,29.803466
-118.532425,109,29.884636
-144.40663,117,29.895492
-119.205414,53,29.923878
-131.51157,58,30.030687
-120.10963,48,30.043607
-135.1105,92,30.118262
-120.27389,48,30.157607
-115.664246,40,30.241009
-116.77088,105,30.275245
-116.54621,39,30.336031
-127.675026,123,30.399541
-117.281296,50,30.4486
-118.1429,49,30.556891
-133.22667,89,30.599559
-118.41693,48,30.660453
-119.24073,49,30.766566
-119.599976,49,30.871034
-141.38252,136,30.894886
-119.14131,49,30.990642
-116.76741,50,31.103581
-113.51312,61,31.232665
-114.48088,187,31.312927
-118.428734,49,31.34636
-116.0744,50,31.455059
-127.14219,75,31.493685
-114.86977,50,31.575044
-132.04643,76,31.659336
-116.45024,52,31.694938
-116.37174,52,31.817871
-133.04776,83,31.866374
-117.97295,51,31.941823
-134.94987,78,32.047474
-115.923615,50,32.068547
-122.62491,53,32.183389
-134.7721,79,32.23234
-117.458176,58,32.348583
-134.11739,79,32.463604
-116.99956,50,32.49636
-126.85867,61,32.636197
-117.667946,55,32.651464
-135.36526,137,33.090101
-150.64948,286,33.452852
-148.07236,291,33.474837
-145.67566,163,33.505122
-252.76732,2000,36.967575
-160.60574,260,37.435344
-256.89218,2000,37.488153
-253.71361,2000,37.502676
-253.2206,2000,37.562517
-146.7828,71,37.71432
-145.49432,127,37.751484
-136.69827,111,37.778144
-121.516304,47,37.878708
-150.57297,107,37.955564
-120.89052,41,37.976803
-127.76413,220,38.035785
-122.254425,41,38.072999
-130.82736,56,39.131718
-138.23474,129,39.217752
-130.47835,40,39.218047
-121.66572,63,39.3661
-122.5469,206,39.506606
-128.57281,73,39.538999
-120.18227,58,39.659586
-124.70894,118,39.766356
-149.1812,248,39.784895
-128.03706,69,39.824416
-129.35022,77,39.986964
-130.1684,82,40.16075
-147.58159,178,40.176252
-130.49582,40,40.266593
-131.1949,80,40.353232
-130.39346,40,40.369831
-131.54901,79,40.534191
-131.56151,79,40.709953
-140.83774,193,40.792558
-129.95653,77,40.876827
-132.57303,80,41.040525
-121.96482,51,41.146981
-153.99718,201,41.214902
-130.40416,40,41.304231
-133.91205,83,41.336293
-130.43703,78,41.521821
-127.9723,72,41.676631
-155.42532,184,41.732748
-130.3109,40,41.819368
-132.74687,82,41.867216
-130.49216,40,41.919239
-130.45827,40,42.016249
-132.72708,81,42.068527
-130.7533,77,42.233551
-128.02928,76,42.395373
-128.8128,69,42.552244
-160.51926,290,42.650617
-130.06454,77,42.714219
-130.41373,40,42.741661
-130.43013,40,42.832999
-132.69604,81,42.90097
-130.40605,40,42.926742
-130.59735,78,43.06997
-259.68088,2000,43.193341
-131.34447,79,43.245744
-134.18399,49,43.309896
-150.3078,184,43.334387
-133.15833,78,43.426309
-134.40015,53,43.44124
-135.0833,47,43.553694
-132.08742,80,43.621231
-134.52374,47,44.650682
-125.78947,81,44.785557
-124.17746,103,44.870707
-170.9635,284,44.963214
-133.26326,46,44.977195
-126.19759,106,45.033109
-132.47578,74,45.141892
-125.103584,83,45.17313
-121.70313,42,45.239211
-136.52011,96,45.2549
-253.13643,2000,45.263971
-122.454506,79,45.361248
-126.390175,57,45.383697
-121.44777,72,45.446886
-123.09557,42,45.501832
-121.72358,41,45.531634
-122.68987,58,45.627598
-121.66328,41,45.647167
-143.56084,138,45.664699
-122.744576,76,45.733885
-124.03822,45,45.783092
-119.78903,63,45.825488
-122.649666,42,45.902542
-123.09516,73,45.945482
-123.90123,52,46.0481
-128.78731,82,46.059948
-129.53134,45,46.0813
-122.36604,42,46.167774
-155.67789,202,46.233699
-122.63866,83,46.301923
-131.85864,92,46.322579
-121.631004,72,46.384457
-123.103165,77,46.535278
-132.47269,91,46.594556
-134.3231,87,46.635966
-127.29762,142,46.6617
-133.247,42,46.670865
-133.47537,79,46.809415
-123.36589,79,46.869329
-132.2414,87,46.869655
-121.24888,57,46.963375
-124.63456,114,46.971238
-122.720184,66,47.060779
-134.44867,87,47.121143
-129.14014,38,47.168983
-122.5707,50,47.260153
-126.19843,43,47.292759
-124.30597,116,47.310365
-155.89864,130,47.354451
-121.76205,41,47.396866
-126.55707,43,47.434106
-130.46175,69,47.510539
-121.80539,41,47.510905
-126.56446,43,47.551718
-132.7876,83,47.601531
-131.98311,82,47.755354
-123.34039,77,47.784713
-136.45398,92,47.793556
-133.83955,74,47.823335
-122.81666,41,47.884591
-126.32697,44,47.929055
-121.92567,56,47.996092
-122.4371,41,48.022791
-140.09024,93,48.086987
-124.13188,78,48.166349
-124.45658,80,48.234182
-123.6308,92,48.347414
-122.6956,73,48.377826
-141.44475,133,48.411072
-135.42313,69,48.445361
-132.41066,46,48.506765
-122.87592,53,48.552458
-122.47126,44,48.660531
-128.603,121,48.676445
-123.46922,78,48.716141
-128.94102,38,48.824085
-154.09555,166,48.883227
-134.40845,92,48.919889
-125.40809,110,48.976341
-122.907455,44,49.029467
-121.831436,83,49.038578
-133.96475,66,49.060397
-134.6412,64,49.178691
-125.57174,104,49.223896
-121.76397,82,49.233062
-123.39444,60,49.367108
-134.52586,90,49.399368
-150.20721,167,49.456753
-122.79559,93,49.457086
-128.7631,38,49.477854
-122.46479,50,49.53702
-121.667175,63,49.62727
-122.4133,44,49.641771
-131.41397,135,49.79538
-120.695274,86,49.84541
-134.46999,88,49.86587
-166.61102,222,49.993953
-123.412605,96,50.020749
-134.69576,90,50.067588
-125.083595,100,50.084644
-128.80995,38,51.136323
-133.8593,73,51.147522
-130.31296,76,51.178201
-140.99078,92,51.259082
-127.0202,59,51.285761
-124.30949,65,51.308957
-118.979645,43,51.404765
-147.23857,156,51.535705
-123.18611,65,51.553449
-128.28375,139,51.588037
-131.1641,41,51.673996
-122.99882,65,51.700907
-142.40128,97,51.770381
-131.81548,42,51.787398
-118.533806,42,51.815797
-131.15074,41,51.887579
-124.59437,66,51.967955
-122.5821,77,52.133076
-128.5736,140,52.197137
-118.81557,43,52.233718
-118.92253,44,52.328846
-127.409386,81,52.381131
-174.42064,299,52.456874
-126.66175,80,52.519117
-118.7512,43,52.610968
-123.652885,33,52.744356
-123.69714,36,52.757232
-121.63502,69,52.83259
-123.657906,33,52.832923
-121.72446,69,52.833028
-123.667274,33,52.904632
-123.65986,33,52.905104
-121.92413,72,52.968901
-135.61392,43,53.059064
-128.69238,87,53.0919
-126.22355,67,53.139831
-129.96542,80,53.274712
-127.13952,68,53.290617
-128.7089,152,53.418656
-157.6956,214,53.466022
-125.7295,78,53.477271
-129.00061,121,53.68547
-127.13003,114,53.720081
-131.15933,41,53.779501
-120.876854,47,53.835302
-167.8902,267,54.057235
-128.02304,138,54.094902
-131.29602,41,54.182613
-155.10121,166,54.202803
-140.02353,86,54.258177
-120.86837,47,54.312741
-127.01529,127,54.479019
-120.27936,88,54.517561
-131.26917,41,54.576335
-118.255394,44,54.617606
-131.81323,42,54.673755
-131.80453,42,54.764004
-164.12967,249,54.825254
-131.17517,41,54.865779
-131.86392,42,54.957772
-155.46619,171,55.009324
-131.16455,41,55.055531
-131.1865,41,55.148585
-125.443924,67,55.169734
-152.70232,170,55.2265
-116.14822,49,55.279624
-126.45056,123,55.41782
-131.1141,41,55.519205
-131.1283,41,55.613382
-156.20349,166,55.655651
-131.17049,41,55.712285
-116.54669,49,55.769381
-166.30742,251,55.802586
-131.27863,41,55.816105
-131.81621,42,55.915872
-131.236,41,56.004601
-148.24388,136,56.086684
-131.19302,41,56.101836
-147.56566,149,57.128575
-155.4776,113,57.354455
-149.57257,102,57.572158
-171.80522,313,57.729251
-145.74416,102,57.785259
-154.75768,107,58.015799
-154.27374,173,58.109241
-153.3804,107,58.256561
-162.68149,128,58.54671
-160.48624,224,58.631988
-218.05681,2000,58.805602
-153.2893,107,58.860508
-124.968704,102,58.930886
-132.97937,68,59.013981
-123.35895,81,59.166768
-154.57436,106,59.174354
-132.17656,67,59.206064
-147.67256,122,59.536204
-153.68805,106,59.836261
-166.20197,250,59.902056
-146.15147,118,60.174348
-159.0231,133,60.519243
-164.43121,252,60.581188
-152.21591,113,60.832985
-130.35922,149,60.990798
-151.99254,103,61.133341
-151.22798,107,61.426643
-158.4949,183,61.860152
-175.31244,346,61.890532
-151.59781,107,62.097449
-170.86604,2000,62.133062
-125.03223,123,62.177234
-124.28995,93,63.306133
-126.08838,78,63.315977
-151.45358,107,63.32706
-118.83799,45,63.414961
-127.33695,66,63.471932
-120.04428,69,63.48818
-122.352875,58,63.55555
-127.28076,64,63.62361
-120.503716,75,63.66325
-122.52955,53,63.687077
-122.46039,52,63.794843
-121.20101,79,63.80653
-121.7173,60,63.924544
-136.04518,124,63.939971
-129.30896,109,64.038978
-122.74939,53,64.047825
-119.67039,48,64.150946
-127.49842,63,64.186307
-123.936195,112,64.194827
-122.35725,54,64.283229
-127.322426,53,64.315984
-120.029106,71,64.365056
-123.18167,54,64.427418
-126.917404,61,64.47817
-134.32028,75,64.554157
-119.40684,57,64.569213
-121.11371,55,64.687541
-121.96879,92,64.687859
-130.04672,90,64.759599
-119.33077,55,64.812238
-128.09619,57,64.821777
-116.18293,49,64.918095
-133.47792,77,64.935174
-126.89515,101,65.035238
-123.83022,60,65.054604
-134.14691,98,65.145878
-122.48056,57,65.182922
-232.8356,2000,65.202261
-123.77223,100,65.277926
-124.11845,54,65.316966
-120.190315,70,65.325963
-133.71106,52,65.339986
-125.89594,60,65.429257
-125.44824,56,65.463756
-130.39331,61,65.491685
-129.04099,41,65.578892
-121.395,55,65.595562
-131.7036,121,65.623038
-126.04532,102,65.677506
-128.80666,41,65.688339
-121.88949,52,65.727268
-119.22743,49,65.749842
-128.77159,41,65.791012
-123.57776,61,65.866989
-126.38383,101,65.915183
-119.468735,58,65.994944
-136.86984,121,66.022488
-128.9175,120,66.063067
-121.92501,38,66.114305
-123.21227,53,66.131604
-125.29137,102,66.162384
-122.88869,53,66.24666
-127.79292,54,66.288361
-130.06822,83,66.320016
-119.27123,107,66.331999
-123.29381,53,66.390709
-128.5922,41,66.428721
-130.25716,71,66.473619
-134.59248,70,66.502117
-124.166855,56,66.538168
-134.03394,55,66.572726
-124.419495,37,66.65257
-120.16108,69,66.666316
-119.22432,61,66.685817
-122.23147,112,66.746642
-130.60184,52,66.785159
-119.24801,61,66.830688
-128.90292,41,66.886996
-121.267334,57,66.967939
-128.74464,41,66.989152
-118.678505,53,67.100959
-120.908485,49,67.194651
-120.21927,209,67.39948
-124.89254,215,67.801172
-119.52503,53,67.906893
-237.36731,2000,70.714248
-237.75885,2000,70.71458
-119.03355,55,70.81688
-238.71811,2000,70.903496
-120.96651,58,71.011633
-148.04395,161,71.020219
-130.5222,61,71.15999
-127.46708,76,71.318039
-127.7621,76,71.500751
-122.19203,102,71.744575
-241.51176,2000,71.758159
-178.6822,369,71.906221
-124.27282,55,71.919258
-127.33219,76,71.983923
-123.63771,53,72.086994
-127.48758,76,72.201987
-121.30422,52,72.235673
-133.7829,125,73.50909
-121.611824,46,73.58496
-144.06033,118,73.805361
-138.94054,161,73.852487
-122.31097,70,73.988404
-119.01575,190,74.067861
-151.43872,107,74.351112
-149.75128,138,74.360541
-146.38313,94,74.616697
-152.45625,168,74.808639
-139.27689,107,74.893107
-125.789635,76,74.98637
-147.311,137,75.270356
-142.01471,201,75.316294
-127.90461,65,75.412536
-147.935,129,75.589114
-130.29771,85,75.600673
-119.912285,60,75.73238
-128.34973,75,75.8848
-129.79797,139,75.89864
-127.12429,87,76.072753
-128.05722,63,76.206898
-160.30597,174,76.26751
-130.81145,87,76.390808
-120.920364,57,76.514407
-128.39717,103,76.7426
-243.95094,2000,76.773953
